text,true_label
Odkryto nowy lek na raka, który działa w 100% przypadków,REAL
Prezydent podpisał ustawę o darmowym internecie dla wszystkich obywateli,FAKE
Naukowcy potwierdzają istnienie życia pozaziemskiego na Marsie,FAKE
Inflacja w Polsce spadła do 2% w ujęciu rocznym,REAL
W Europie wprowadzono całkowity zakaz spożywania mięsa,FAKE
Nowe badania dowodzą, że sen powyżej 10 godzin jest szkodliwy,REAL
Elon Musk kupił Twittera za rekordową sumę,REAL
Do końca roku Polska zrezygnuje z węgla,FAKE
Rząd ogłosił dodatkowe, trzynaste emerytury w grudniu,FAKE
Ozonowa dziura nad Antarktydą zmniejszyła się do rekordowo małych rozmiarów,REAL
Firma Apple ogłosiła bankructwo po spadku sprzedaży iPhone'ów,FAKE
Na dnie Pacyfiku znaleziono zatopione miasto ze złota,FAKE
Kurs EUR/PLN osiągnął historyczne minimum 4.00,REAL
Wybuch wulkanu Yellowstone zniszczył połowę Stanów Zjednoczonych,FAKE
Zmarł znany aktor filmowy po długiej chorobie,REAL
Parlament Europejski przegłosował koniec zmian czasu letniego i zimowego,REAL
Naukowcy odkryli, że jedzenie czekolady wydłuża życie o 5 lat,FAKE
WHO ogłosiła pandemię otyłości jako największe zagrożenie na świecie,REAL
Pierwszy robot humanoidalny został wybrany na prezydenta państwa azjatyckiego,FAKE
Polska awansowała do finału Mistrzostw Świata w Piłce Nożnej,FAKE
Opublikowano nową, przełomową architekturę procesorów kwantowych,REAL
Ceny paliw spadły poniżej 3 zł za litr,REAL